message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,724058])";"30";"turtlesim3.sim";"1726067233.027722499";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,724058])";"30";"turtlesim2.sim";"1726067233.011986099";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,733954])";"30";"turtlesim3.sim";"1726067233.011277381";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,733954])";"30";"turtlesim2.sim";"1726067232.996394275";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,743850])";"30";"turtlesim3.sim";"1726067232.995743430";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,724058])";"30";"turtlesim1.sim";"1726067232.995291508";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,743850])";"30";"turtlesim2.sim";"1726067232.980753038";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,733954])";"30";"turtlesim1.sim";"1726067232.979725884";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,753746])";"30";"turtlesim3.sim";"1726067232.979576481";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,753746])";"30";"turtlesim2.sim";"1726067232.964238289";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,763642])";"30";"turtlesim3.sim";"1726067232.964098231";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,743850])";"30";"turtlesim1.sim";"1726067232.963160968";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,763642])";"30";"turtlesim2.sim";"1726067232.948776432";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,773538])";"30";"turtlesim3.sim";"1726067232.947795572";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,753746])";"30";"turtlesim1.sim";"1726067232.947565859";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,783434])";"30";"turtlesim3.sim";"1726067232.932318586";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,773538])";"30";"turtlesim2.sim";"1726067232.932029823";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,763642])";"30";"turtlesim1.sim";"1726067232.930940526";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,783434])";"30";"turtlesim2.sim";"1726067232.916425074";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,793330])";"30";"turtlesim3.sim";"1726067232.915491437";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,773538])";"30";"turtlesim1.sim";"1726067232.915253113";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,793330])";"30";"turtlesim2.sim";"1726067232.900750151";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,803227])";"30";"turtlesim3.sim";"1726067232.900023365";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0,030431, y=2,783434])";"30";"turtlesim1.sim";"1726067232.899655392";"/home/night_whisper/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
